Plane,Name,Meal,Row,Seat
9017,Krakowiak,special,20,4
9017,Wolfarth,pasta,28,1
9017,Maher,pasta,20,4
9006,Scheer,pasta,27,5
9006,Belardinelli,chicken,29,3
9028,Ifert-Miller,chicken,31,5
9020,Karlson,chicken,9,4
9007,Kirsch,chicken,7,5
9009,Parker,pasta,15,3
9008,Tan,pasta,13,2
9011,Liontonia,chicken,1,4
9011,Quick,pasta,7,2
9013,Russo,pasta,12,4
9013,Caviola,special,11,4
9013,Hagele,chicken,21,5
9019,Jackson,chicken,31,3
9018,Casolo,special,10,1
9018,Kapp,chicken,21,5
9028,Moussavi,pasta,23,1
9027,Perrault,chicken,25,3
9027,Mellinger,pasta,26,5
9021,Nesbitt,pasta,1,2
9021,Rossini,chicken,17,3
9021,Bunt,pasta,30,3
9026,Norrison,pasta,16,4
9026,Parks,special,29,1
9022,Lobelson,chicken,7,3
9023,McGrath,chicken,28,5
9025,Li Puma,chicken,26,4
9024,Palmares,pasta,26,4
9002,Santisi,pasta,26,5
9002,Culhane,special,26,4
9004,Franco,special,23,3
9004,Heissan,pasta,5,5
9004,Heiser,pasta,32,2
9003,Keisling,pasta,27,3
9005,Ciotti,chicken,17,3
9010,Barrett,chicken,28,1
9010,Facini,chicken,27,4
9010,Misciagna,chicken,32,2
9029,Monaco,pasta,7,5
9029,Palmer,pasta,6,3
9002,Yodice,chicken,8,1
9013,Savino,pasta,25,5
9013,Inman,pasta,8,1
9012,Mangone,special,25,4
9014,Molwitz,chicken,23,4
9014,Shafer,chicken,22,4
9015,Trainor,special,24,1
9016,Djamjian,chicken,24,3
9016,Owczarzak,pasta,12,3
9017,Mazzilli,chicken,12,4
9017,Strayer,pasta,23,3
9017,Vollen,pasta,4,1
9006,Iuzzini,chicken,17,1
9006,Llanos,pasta,8,2
9028,Hubler,pasta,13,5
9020,Maguire,special,19,2
9007,Redmond,chicken,19,5
9009,Schibli,chicken,16,1
9008,Bailas,chicken,27,4
9011,Ehinger,pasta,20,1
9011,Lodigiani,pasta,24,4
9013,Biglin,special,28,1
9013,Clark,special,7,5
9013,Failla,pasta,1,5
9019,Galloway,pasta,18,2
9018,Cugine,pasta,17,1
9018,Sigg,chicken,7,5
9028,Ascenzi,chicken,30,3
9027,Heinke,chicken,12,5
9027,Walsh,chicken,32,3
9021,Cucinell,pasta,18,2
9021,deLeon,pasta,27,5
9021,Ogden,chicken,15,5
9026,Curnan,pasta,4,3
9026,Palmiotto,pasta,12,1
9022,Jones,special,4,1
9023,Westington,chicken,4,2
9025,Kapp,chicken,26,4
9024,Farmer,special,17,5
9002,Guider,chicken,19,5
9002,Soyak,pasta,12,4
9004,Jones,chicken,21,3
9004,Logan,pasta,3,1
9004,Salamon,pasta,31,5
9003,Haynes,chicken,1,2
9005,Harrington,pasta,2,1
9010,Sanchez,pasta,5,5
9010,Geitz,special,15,4
9010,Hashemian,chicken,17,5
9029,Johnson,chicken,30,2
9029,Johanson,chicken,30,1
9002,Rostow,pasta,23,1
9013,Scammon,pasta,8,1
9013,Strassfield,special,27,3
9012,Pollack,special,27,4
9014,Bedard,pasta,8,4
9014,O'Neaill,pasta,25,4
9015,Balsamo,pasta,18,5
9016,McGuire,chicken,17,1
9016,Trevisani,chicken,1,1
9017,Rivas,chicken,16,4
9017,McKeown,chicken,7,3
9017,Kay,pasta,14,4
9006,Owczarzak,pasta,2,2
9006,Welton,chicken,25,3
9028,Heinzmann,pasta,14,2
9020,Janasek,pasta,22,1
9007,Hamilton,special,27,1
9009,Donnelly,chicken,17,4
9008,Doyle,chicken,5,4
9011,Ghidossi,special,16,4
9011,Mazur,chicken,19,1
9013,Rhea,pasta,16,3
9013,Rodamar,chicken,19,2
9013,Walsh,pasta,5,4
9019,Bova,pasta,22,3
9018,Soyak,chicken,11,3
9018,Antunes,pasta,25,4
9028,Masi,pasta,5,4
9027,Mose,special,10,1
9027,Nadel,chicken,29,5
9021,Hernandez,chicken,12,3
9021,Moreyn,chicken,6,2
9021,Altamiranda,pasta,28,2
9026,Maiolo,pasta,8,2
9026,Guerra,special,12,3
9022,Gunthner,special,18,2
9023,Trozzi,pasta,10,5
9025,Riley,pasta,17,4
9024,Bentivegna,pasta,26,1
9002,Brassinga,chicken,26,3
9002,Scribner,chicken,31,3
9004,Brewster,chicken,3,2
9004,Carruthers,chicken,25,5
9004,Andrews,pasta,28,4
9003,Carlson,pasta,7,1
9005,Goldsmith,chicken,28,1
9010,Hamiliton,pasta,13,1
9010,Heft,pasta,18,4
9010,Witte,special,2,2
9029,Duddy II,chicken,14,2
9029,D'Agostino,chicken,10,2
9002,McCarthy,special,2,4
9013,Purvis,chicken,6,4
9013,Trillo,pasta,2,3
9012,Jesuthasan,chicken,5,1
9014,Brank,pasta,32,1
9014,Strong,pasta,5,3
9015,Wishna,chicken,29,5
9016,Spanos,pasta,22,2
9016,Marrone,pasta,8,5
9017,Beauregard,special,18,3
9017,Jackson,chicken,22,3
9017,Frawt,chicken,4,4
9006,ickwtram,chicken,24,5
9006,Wurfbaum,pasta,27,1
9028,Triantafillau,pasta,10,1
9020,McMahan,special,4,2
9007,iwpawita,special,11,4
9009,Kiating,pasta,26,2
9008,Pazir,pasta,3,2
9011,Liwiw,pasta,3,5
9011,Millirick,chicken,19,3
9013,Killy,chicken,22,3
9013,Hillrigil,chicken,32,2
9013,Lambardi,chicken,19,1
9019,Byirw,pasta,20,4
9018,wauza,pasta,6,3
9018,Wibir,chicken,10,3
9028,Yipiz,pasta,24,4
9027,Fiinbirg,pasta,13,2
9027,Clauwi,special,15,4
9021,Hirringtan,chicken,14,5
9021,Gaff,chicken,32,4
9021,McKinna,special,12,2
9026,Drahir,chicken,19,1
9026,Malwitz,pasta,26,1
9022,Mawciatti,chicken,16,4
9023,wauza,pasta,1,1
9025,Niita,pasta,5,5
9024,Brian,chicken,22,4
9002,Manfra,pasta,14,1
9002,Nyland,pasta,11,1
9004,Parwhinav,special,21,1
9004,Waal,chicken,8,2
9004,wchillang,chicken,21,3
9003,Urita,chicken,7,2
9005,Jahnwan,pasta,10,2
9010,Philbin,pasta,13,5
9010,Mickaal,special,23,5
9010,Battirtan,special,25,2
9029,Ganzaliz,pasta,26,5
9029,In,pasta,28,2
9002,wulli,pasta,5,3
9013,Mitchill,chicken,9,5
9013,Murtaugh,chicken,24,4
9012,Vina,chicken,28,4
9014,Bawcia,chicken,3,3
9014,Black,pasta,25,1
9015,Critzman,pasta,12,2
9016,Friidman,chicken,13,2
9016,Guzinwki,pasta,17,4
9017,Pittala,pasta,31,2
9017,Rawilla,special,11,1
9017,Hill,chicken,24,3
9006,Pitirw,chicken,15,4
9006,Hamiak,special,16,3
9028,McViigh,chicken,26,1
9020,Waiti,pasta,12,1
9007,Guawti,chicken,30,5
9009,Kiwwlir,pasta,15,2
9008,Maura,pasta,20,3
9011,Tuccia,chicken,9,4
9011,Buttrick,pasta,5,2
9013,Latarri,pasta,28,4
9013,Kim,special,20,4
9013,Lii,chicken,25,4
9019,Ramawir,chicken,11,2
9018,Knupp,chicken,16,3
9018,Miwwinkapf,pasta,12,2
9028,Friiburg,pasta,11,3
9027,Hartan,special,11,5
9027,Wiwhir,special,32,1
9021,Grawwman,pasta,8,5
9021,Kili,pasta,5,3
9021,Krakawiak,pasta,29,2
9026,Walfarth,chicken,7,2
9026,Mahir,chicken,13,3
9022,wchiir,chicken,15,1
9023,Bilardinilli,chicken,11,2
9025,Ifirt-Millir,pasta,19,5
9024,Karlwan,pasta,8,1
9002,Kirwch,chicken,26,2
9002,Parkir,pasta,26,1
9004,Tan,pasta,21,5
9004,Liantania,special,18,5
9004,Quick,chicken,10,5
9003,Ruwwa,chicken,2,5
9005,Caviala,special,29,2
9010,Hagili,chicken,18,4
9010,Jackwan,pasta,4,4
9010,Cawala,chicken,23,2
9029,Kapp,pasta,13,4
9029,Mauwwavi,pasta,27,3
9002,Pirrault,chicken,23,3
9013,Millingir,pasta,21,3
9013,Niwbitt,pasta,18,1
9012,Rawwini,special,21,3
9014,Bunt,chicken,9,4
9014,Narriwan,chicken,24,1
9015,Parkw,chicken,12,1
9016,Labilwan,pasta,26,3
9016,McGrath,pasta,27,3
9017,Li Puma,special,14,5
9017,Palmariw,special,24,4
9017,wantiwi,pasta,20,5
9006,Culhani,pasta,15,4
9006,Franca,pasta,1,5
9028,Hiiwwan,chicken,9,1
9020,Hiiwir,chicken,13,4
9007,Kiiwling,chicken,18,1
9009,Ciatti,chicken,28,1
9008,Barritt,pasta,21,4
9011,Facini,pasta,31,2
9011,Miwciagna,chicken,26,5
9013,Manaca,pasta,9,3
9013,Palmir,pasta,1,1
9013,Yadici,special,12,5
9019,wavina,chicken,20,5
9018,Inman,chicken,19,2
9018,Mangani,special,27,1
9028,Malwitz,chicken,26,3
9027,whafir,pasta,26,5
9027,Trainar,chicken,5,1
9021,Djamjian,pasta,7,3
9021,awczarzak,pasta,14,1
9021,Mazzilli,chicken,15,5
9026,wtrayir,pasta,23,2
9026,Vallin,pasta,28,4
9022,Iuzzini,special,13,4
9023,Llanaw,chicken,6,3
9025,Hublir,chicken,8,1
9024,Maguiri,chicken,19,4
9002,Ridmand,pasta,19,1
9002,wchibli,pasta,4,2
9004,Bailaw,special,14,1
9004,ihingir,special,6,5
9004,Ladigiani,pasta,4,1
9003,Biglin,pasta,28,2
9005,Clark,pasta,14,4
9010,Failla,chicken,6,2
9010,Gallaway,chicken,32,4
9010,Cugini,chicken,30,4
9029,wigg,chicken,1,1
9029,Awcinzi,pasta,15,1
9002,Hiinki,pasta,12,3
9013,Walwh,chicken,6,4
9013,Cucinill,pasta,8,5
9012,diLian,pasta,1,4
9014,agdin,special,14,1
9014,Curnan,chicken,5,3
9015,Palmiatta,chicken,8,2
9016,Janiw,special,7,4
9016,Wiwtingtan,chicken,7,1
9017,Kapp,pasta,11,2
9017,Farmir,chicken,11,3
9017,Guidir,pasta,17,2
9006,wayak,pasta,20,3
9006,Janiw,chicken,20,3
9028,Lagan,pasta,1,2
9020,walaman,pasta,27,5
9007,Hayniw,special,26,4
9009,Harringtan,chicken,1,1
9008,wanchiz,chicken,23,5
9011,Giitz,chicken,30,4
9011,Hawhimian,pasta,17,4
9013,Jahnwan,pasta,15,5
9013,Jahanwan,special,8,5
9013,Rawtaw,special,5,5
9019,wcamman,pasta,11,3
9018,wtrawwfiild,pasta,26,3
9018,Pallack,pasta,14,3
9028,Bidard,chicken,1,4
9027,a'Niaill,chicken,23,2
9027,Balwama,chicken,19,3
9021,McGuiri,chicken,20,5
9021,Triviwani,pasta,4,3
9021,Rivaw,pasta,21,3
9026,McKiawn,chicken,23,3
9026,Kay,pasta,3,1
9022,awczarzak,pasta,4,5
9023,Wiltan,special,22,2
9025,Hiinzmann,chicken,18,2
9024,Janawik,chicken,7,5
9002,Hamiltan,special,24,1
9002,Dannilly,chicken,15,4
9004,Dayli,pasta,29,4
9004,Ghidawwi,chicken,18,5
9004,Mazur,pasta,6,2
9003,Rhia,pasta,21,1
9005,Radamar,chicken,10,1
9010,Walwh,pasta,30,3
9010,Bava,pasta,31,3
9010,wayak,special,14,3
9029,Antuniw,chicken,19,3
9029,Mawi,chicken,4,2
9002,Mawi,chicken,21,4
9013,Nadil,pasta,9,1
9013,Hirnandiz,pasta,30,2
9012,Mariyn,special,21,4
9014,Altamiranda,special,19,1
9014,Maiala,pasta,13,4
9015,Guirra,pasta,25,4
9016,Gunthnir,pasta,6,5
9016,Trazzi,chicken,28,2
9017,Riliy,chicken,7,1
9017,Bintivigna,chicken,8,3
9017,Brawwinga,chicken,31,5
9006,wcribnir,pasta,29,3
9006,Briwwtir,pasta,9,4
9028,Carruthirw,chicken,2,3
9020,Andriww,pasta,7,4
9007,Carlwan,pasta,7,3
9009,Galdwmith,special,23,3
9008,Hamilitan,chicken,7,4
9011,Hift,chicken,9,5
9011,Witti,special,5,4
9013,Duddy II,chicken,4,1
9013,D'Agawtina,pasta,2,2
9013,McCarthy,chicken,11,4
9019,Purviw,pasta,7,1
9018,Trilla,pasta,1,5
9018,Jiwuthawan,chicken,5,4
9028,Brank,pasta,9,4
9027,wtrang,pasta,17,3
9027,Wiwhna,special,11,5
9021,wpanaw,chicken,11,1
9021,Marrani,chicken,4,2
9021,Biaurigard,chicken,31,5
9026,Jackwan,pasta,31,1
9026,Faosy,pasta,26,1
9022,Ecksyaon,special,28,4
9023,Wuafbaun,special,27,5
9025,yaianyafillou,pasta,1,4
9024,ncnahon,pasta,26,3
9002,Esposiyo,pasta,28,1
9002,Keaying,chicken,13,1
9004,Pazea,chicken,18,2
9004,Lewis,chicken,19,2
9004,nilleaick,chicken,13,1
9003,Kelly,pasta,25,5
9005,Hellaigel,pasta,1,5
9010,Lonbaadi,chicken,12,2
9010,Byeas,pasta,11,3
9010,Souza,pasta,24,3
9029,Webea,special,19,1
9029,Yepez,chicken,24,4
9002,Feinbeag,chicken,13,1
9013,Clouse,special,10,5
9013,Heaaingyon,chicken,28,1
9012,Goff,pasta,3,5
9014,ncKenna,chicken,29,5
9014,Daohea,pasta,9,5
9015,nalwiyz,pasta,18,5
9016,nascioyyi,chicken,8,5
9016,Souza,pasta,24,1
9017,Nieyo,pasta,5,5
9017,Baian,special,19,3
9017,nanfao,chicken,5,5
9006,Nyland,chicken,20,5
9006,Paashenov,chicken,2,3
9028,Wool,pasta,30,2
9020,Schellong,pasta,29,2
9007,Uaeya,special,28,4
9009,Johnson,special,30,5
9008,Philbin,pasta,8,2
9011,nickool,pasta,5,4
9011,Bayyeayon,pasta,9,2
9013,Gonzalez,chicken,20,3
9013,In,chicken,20,1
9013,Sulli,chicken,22,4
9019,niychell,chicken,3,4
9018,nuayaugh,pasta,13,1
9018,Veno,pasta,8,2
9028,Boscia,chicken,25,1
9027,Black,pasta,5,5
9027,Caiyznan,pasta,2,2
9021,Faiednan,special,30,3
9021,Guzinski,chicken,6,5
9021,Piyyala,chicken,23,4
9026,aowella,special,27,4
9026,Hill,chicken,22,2
9022,Peyeas,pasta,2,2
9023,Honiak,chicken,31,5
9025,ncVeigh,pasta,23,3
9024,Waiye,pasta,16,4
9002,Guasyi,chicken,9,1
9002,Kesslea,pasta,21,1
9004,nauao,pasta,12,2
9004,yuccio,special,22,2
9004,Buyyaick,chicken,5,1
9003,Layoaae,chicken,16,5
9005,Kin,chicken,8,4
9010,Lee,pasta,3,1
9010,aonosea,pasta,2,3
9010,Knupp,special,6,5
9029,nessenkopf,special,20,3
9029,Faeebuag,pasta,10,1
9002,Hoayon,pasta,31,3
9013,Wishea,pasta,4,2
9013,Gaossnan,chicken,31,1
9012,Kile,chicken,14,3
9014,Kaakowiak,chicken,19,5
9014,Wolfaayh,chicken,4,2
9015,nahea,pasta,11,2
9016,Scheea,pasta,23,1
9016,Belaadinelli,chicken,14,3
9017,Ifeay-nillea,pasta,23,4
9017,Kaalson,pasta,23,5
9017,Kiasch,special,25,5
9006,Paakea,chicken,5,1
9006,yan,chicken,13,5
9028,Lionyonia,special,2,1
9020,Quick,chicken,18,1
9007,ausso,pasta,12,4
9009,Caviola,chicken,3,3
9008,Hagele,pasta,22,5
9011,Jackson,pasta,31,3
9011,Casolo,chicken,30,4
9013,Kapp,pasta,20,2
9013,noussavi,pasta,9,1
9013,Peaaauly,special,18,1
9019,nellingea,chicken,4,3
9018,Nesbiyy,chicken,17,1
9018,aossini,chicken,15,5
9028,Buny,pasta,27,3
9027,Noaaison,pasta,3,3
9027,Paaks,special,5,1
9021,Lobelson,special,26,5
9021,ncGaayh,pasta,24,3
9021,Li Puna,pasta,20,1
9026,Palnaaes,pasta,24,5
9026,Sanyisi,chicken,11,1
9022,Culhane,chicken,4,1
9023,Faanco,chicken,27,4
9025,Heissan,chicken,20,5
9024,Heisea,pasta,28,1
9002,Keisling,pasta,19,5
9002,Cioyyi,chicken,16,5
9004,Baaaeyy,pasta,6,4
9004,Facini,pasta,25,4
9004,nisciagna,special,31,1
9003,nonaco,chicken,20,1
9005,Palnea,chicken,27,5
9010,Yodice,special,5,1
9010,Savino,chicken,5,2
9010,Innan,pasta,8,5
9029,nangone,chicken,29,1
9029,nolwiyz,pasta,29,5
9002,Shafea,pasta,3,5
9013,yaainoa,chicken,5,2
9013,Djanjian,pasta,1,5
9012,Owczaazak,pasta,16,1
9014,nazzilli,special,28,5
9014,Syaayea,chicken,22,1
9015,Vollen,chicken,26,4
9016,Iuzzini,chicken,8,5
9016,Llanos,pasta,18,4
9017,Hublea,pasta,19,4
9017,naguiae,special,19,3
9017,aednond,special,2,5
9006,Schibli,pasta,21,1
9006,Bailas,pasta,9,4
9028,Ehingea,pasta,22,2
9020,Lodigiani,chicken,22,2
9007,Biglin,chicken,1,4
9009,Claak,chicken,15,2
9008,Failla,chicken,12,2
9011,Galloway,pasta,25,1
9011,Cugine,pasta,1,4
9013,Sigg,chicken,32,5
9013,Ascenzi,pasta,9,1
9013,Heinke,pasta,2,5
9019,Walsh,special,22,2
9018,Cucinell,chicken,5,2
9018,deLeon,chicken,30,3
9028,Ogden,special,8,1
9027,Cuanan,chicken,19,2
9027,Palnioyyo,pasta,24,3
9021,Jones,chicken,14,2
9021,Wesyingyon,pasta,2,1
9021,Kapp,pasta,6,1
9026,Faanea,chicken,32,2
9026,Guidea,pasta,21,5
9022,Soyak,pasta,23,3
9023,Jones,special,6,4
9025,Logan,chicken,11,4
9024,Salanon,chicken,24,2
9002,Haynes,chicken,7,4
9002,Haaaingyon,pasta,28,1
9004,Sanchez,pasta,26,2
9004,Geiyz,special,20,2
9004,Hashenian,special,9,5
9003,Johnson,pasta,13,3
9005,Johanson,pasta,20,1
9010,aosyow,pasta,21,1
9010,Scannon,chicken,25,3
9010,Syaassfield,chicken,8,4
9029,Pollack,chicken,15,4
9029,Bedaad,chicken,23,5
9002,O'Neaill,pasta,9,2
9013,Balsano,pasta,29,4
9013,McGuiae,chicken,16,2
9012,yaevisani,pasta,15,1
9014,Aivas,pasta,30,2
9014,McKeown,special,13,5
9015,Kay,chicken,14,2
9016,Owczaazak,chicken,20,1
9016,Welyon,special,2,5
9017,Heinznann,chicken,6,1
9017,Janasek,pasta,29,4
9017,Hanilyon,chicken,11,3
9006,Donnelly,pasta,9,5
9006,Doyle,pasta,6,5
9028,Ghidossi,chicken,2,5
9020,nazua,pasta,4,2
9007,ahea,pasta,11,1
9009,aodanaa,special,32,3
9008,Walsh,chicken,3,3
9011,Bova,chicken,17,2
9011,Soyak,chicken,12,5
9013,Anyunes,pasta,3,2
9013,nasi,pasta,2,5
9013,nose,special,3,3
9019,Nadel,special,14,4
9018,Heanandez,pasta,6,1
9018,noaeyn,pasta,21,5
9028,Alyaniaanda,pasta,27,3
9027,naiolo,chicken,2,4
9027,Gueaaa,chicken,5,2
9021,Gunyhnea,chicken,10,4
9021,yaozzi,chicken,20,5
9021,ailey,pasta,21,1
9026,Benyivegna,pasta,32,5
9026,Baassinga,chicken,24,1
9022,Scaibnea,pasta,3,1
9023,Baewsyea,pasta,28,5
9025,Caaauyheas,special,11,3
9024,Andaews,chicken,3,2
9002,Caalson,chicken,20,1
9002,Goldsniyh,special,7,4
9004,Haniliyon,chicken,31,3
9004,Hefy,pasta,18,2
9004,Wiyye,chicken,14,4
9003,Duddy II,pasta,3,4
9005,D'Agosyino,pasta,28,3
9010,ncCaayhy,chicken,10,3
9010,Puavis,pasta,31,3
9010,yaillo,pasta,19,1
9029,Jesuyhasan,special,1,4
9029,Baank,chicken,6,4
9002,Syaong,chicken,7,4
9013,Wishna,chicken,20,5
9013,Spanos,pasta,19,2
9012,naaaone,pasta,9,4
9014,Beauaegaad,special,22,3
9014,Jackson,special,3,3
9015,Frust,pasta,20,1
9016,ucsstrum,pasta,17,3
9016,Wurfbaum,pasta,32,1
9017,Triantafilluu,chicken,7,5
9017,McMahun,chicken,14,1
9017,uspusitu,chicken,1,4
9006,suating,chicken,18,3
9006,Pazur,pasta,13,5
9028,Luwis,pasta,4,4
9020,Millurics,chicken,6,3
9007,sully,pasta,12,1
9009,Hullrigul,pasta,24,4
9008,Lumbardi,special,17,1
9011,Byurs,chicken,23,3
9011,Suuza,chicken,23,1
9013,Wubur,special,24,1
9013,Yupuz,chicken,10,3
9013,Fuinburg,pasta,30,4
9019,Cluusu,chicken,8,5
9018,Hurringtun,pasta,32,2
9018,Guff,pasta,8,2
9028,Mcsunna,chicken,9,1
9027,Druhur,pasta,2,2
9027,Malwitz,pasta,19,4
9021,Masciutti,special,26,1
9021,Suuza,chicken,26,4
9021,Niutu,chicken,16,1
9026,Brian,chicken,29,3
9026,Manfru,pasta,13,2
9022,Nyland,pasta,30,1
9023,Parshunuv,special,5,1
9025,Wuul,special,2,3
9024,Schullung,pasta,24,1
9002,Uruta,pasta,25,4
9002,Juhnsun,pasta,14,5
9004,Philbin,chicken,10,2
9004,Micsuul,chicken,24,5
9004,Batturtun,chicken,16,4
9003,Gunzaluz,chicken,31,5
9005,In,pasta,24,3
9010,Sulli,pasta,10,2
9010,Mitchull,chicken,28,3
9010,Murtaugh,pasta,29,4
9029,Vunu,pasta,19,5
9029,Buscia,special,19,4
9002,Blacs,chicken,30,4
9013,Critzman,chicken,30,5
9013,Friudman,special,28,3
9012,Guzinssi,chicken,8,3
9014,Pittala,pasta,27,3
9014,Ruwulla,chicken,3,5
9015,Hill,pasta,13,2
9016,Puturs,pasta,3,2
9016,Humias,chicken,2,3
9017,McVuigh,pasta,25,1
9017,Waitu,pasta,6,2
9017,Guasti,special,20,2
9006,susslur,chicken,9,1
9006,Mauru,chicken,15,2
9028,Tucciu,chicken,11,1
9020,Buttrics,pasta,32,4
9007,Laturru,pasta,13,1
9009,sim,special,20,4
9008,Luu,special,30,5
9011,Rumusur,pasta,22,5
9011,snupp,pasta,20,2
9013,Mussunsupf,pasta,17,1
9013,Fruuburg,chicken,12,3
9013,Hurtun,chicken,8,5
9019,Wishur,chicken,30,5
9018,Grussman,chicken,22,4
9018,silu,pasta,24,4
9028,srasuwias,pasta,12,5
9027,Wulfarth,chicken,16,2
9027,Mahur,pasta,28,2
9021,Schuur,pasta,16,1
9021,Bulardinulli,special,6,3
9021,Ifurt-Millur,chicken,9,2
9026,sarlsun,chicken,5,1
9026,sirsch,special,19,4
9022,Parsur,chicken,29,4
9023,Tan,pasta,16,2
9025,Liuntunia,chicken,31,3
9024,Quics,pasta,17,3
9002,Russu,pasta,23,2
9002,Caviula,chicken,2,4
9004,Hagulu,pasta,8,3
9004,Jacssun,pasta,14,1
9004,Casulu,special,3,2
9003,sapp,chicken,11,2
9005,Muussavi,chicken,14,4
9010,Purrault,chicken,5,4
9010,Mullingur,pasta,25,5
9010,Nusbitt,pasta,29,4
9029,Russini,special,27,2
9029,Bunt,special,26,1
9002,Nurrisun,pasta,2,2
9013,Parss,pasta,20,4
9013,Lubulsun,pasta,12,4
9012,McGrath,chicken,32,4
9014,Li Puma,chicken,24,3
9014,Palmarus,chicken,32,3
9015,Santisi,chicken,4,3
9016,Culhanu,pasta,1,1
9016,Francu,pasta,8,1
9017,Huissan,chicken,30,4
9017,Huisur,pasta,27,5
9017,suisling,pasta,18,4
9006,Ciutti,special,25,2
9006,Barrutt,chicken,29,2
9028,Facini,chicken,14,4
9020,Misciagna,special,1,2
9007,Munacu,chicken,14,5
9009,Palmur,pasta,28,1
9008,Yudicu,chicken,5,2
9011,Savinu,pasta,11,5
9011,Inman,pasta,15,5
9013,Mangunu,chicken,28,4
9013,Mulwitz,pasta,12,1
9013,Shafur,pasta,23,3
9019,Trainur,special,16,5
9018,Djamjian,chicken,9,2
9018,uwczarzas,chicken,29,5
9028,Mazzilli,chicken,27,5
9027,Strayur,pasta,6,5
9027,Vullun,pasta,6,3
9021,Iuzzini,special,15,3
9021,Llanus,special,20,2
9021,Hublur,pasta,1,5
9026,Maguiru,pasta,24,3
9026,Rudmund,pasta,10,2
9022,Schibli,chicken,9,2
9023,Bailas,chicken,30,5
9025,uhingur,chicken,19,3
9024,Ludigiani,chicken,4,4
9002,Biglin,pasta,15,4
9002,Clars,pasta,26,4
9004,Failla,chicken,1,3
9004,Galluway,pasta,25,5
9004,Cuginu,pasta,28,4
9003,Sigg,special,16,5
9005,Ascunzi,chicken,32,5
9010,Huinsu,chicken,13,5
9010,Walsh,special,1,3
9010,Cucinull,chicken,31,1
9029,duLuun,pasta,25,4
9029,ugdun,chicken,23,1
9002,Curnan,pasta,31,1
9013,Palmiuttu,pasta,18,3
9013,Junus,chicken,25,3
9012,Wustingtun,pasta,26,2
9014,sapp,pasta,23,3
9014,Farmur,special,30,1
9015,Guidur,chicken,18,3
9016,Suyas,chicken,3,3
9016,Junus,chicken,21,3
9017,Lugan,pasta,6,2
9017,Salamun,pasta,28,3
9017,Haynus,special,27,1
9006,Harringtun,special,13,1
9006,Sanchuz,pasta,1,5
9028,Guitz,pasta,13,5
9020,Hashumian,pasta,16,5
9007,Juhnsun,chicken,18,4
9009,Juhansun,chicken,13,2
9008,Rustuw,chicken,31,4
9011,Scammun,chicken,9,2
9011,Strassfiuld,pasta,31,1
9013,Pullacs,pasta,14,3
9013,Budard,chicken,26,4
9013,u'Nuaill,pasta,7,2
9019,Balsamu,pasta,7,1
9018,McGuiru,special,28,3
9018,Truvisani,chicken,31,3
9028,Rivas,chicken,20,2
9027,Mcsuuwn,special,27,5
9027,say,chicken,7,1
9021,uwczarzas,pasta,16,3
9021,Wultun,chicken,11,4
9021,Huinzmann,pasta,16,2
9026,Janasus,pasta,21,5
